title,author,blurb,isbn,call_number,cover_filename
The Mobile Wave,"Michael J. Saylor, Michael Saylor","Smart phones are just the beginning . . . A tech exec's New York Times bestselling, groundbreaking analysis of the impact of mobile intelligence. With the perspective of a historian, the precision of a technologist, and the pragmatism of a CEO, Michael J. Saylor of MicroStrategy provides a panoramic view of the future mobile world. He describes how: A Harvard education will be available to anyone with the touch of a screen. Cash will become virtual software and crime proof. Cars, homes, fruit, animals, and more will be tagged so they can tell you about themselves. Buying an item will be as ...",9780306822988,,The Mobile Wave_693.jpg
Revolution in Lamps,"Raymond Kane, Heinz Sell",No description available.,1577301250,,
The Idea Factory,Jon Gertner,"The definitive history of America’s greatest incubator of innovation and the birthplace of some of the 20th century’s most influential technologies “Filled with colorful characters and inspiring lessons . . . The Idea Factory explores one of the most critical issues of our time: What causes innovation?” —Walter Isaacson, The New York Times Book Review “Compelling . . . Gertner's book offers fascinating evidence for those seeking to understand how a society should best invest its research resources.” —The Wall Street Journal From its beginnings in the 1920s until its demise in the 1980s, Bel...",9780143122791,,The Idea Factory_695.jpg
The Idea Factory,Jon Gertner,"The definitive history of America’s greatest incubator of innovation and the birthplace of some of the 20th century’s most influential technologies “Filled with colorful characters and inspiring lessons . . . The Idea Factory explores one of the most critical issues of our time: What causes innovation?” —Walter Isaacson, The New York Times Book Review “Compelling . . . Gertner's book offers fascinating evidence for those seeking to understand how a society should best invest its research resources.” —The Wall Street Journal From its beginnings in the 1920s until its demise in the 1980s, Bel...",9780143122791,,The Idea Factory_696.jpg
"Don't Make Me Think, Revisited",Steve Krug,Examines the principles behind website design and development. Includes examples and information on ensuring your website is usable on a mobile device.,9780321965516,,Dont Make Me Think Revisited_697.jpg
The Yugo,Jason Vuic,"Six months after its American introduction in 1985, the Yugo was a punch line; within a year, it was a staple of late-night comedy. By 2000, NPR's Car Talk declared it ""the worst car of the millennium."" And for most Americans that's where the story begins and ends. Hardly. The short, unhappy life of the car, the men who built it, the men who imported it, and the decade that embraced and discarded it is rollicking and astounding, and one of the greatest untold business-cum-morality tales of the 1980s. Mix one rabid entrepreneur, several thousand ""good"" communists, a willing U.S. State Depart...",9781429945394,,The Yugo_698.jpg
Red Moon Rising,Matthew Brzezinski,"A vivid, behind-the-scenes history of the Cold War's space race between the Soviets & Americans following the launch of Sputnik. ""In his exuberant narrative of the superpower space race . . . [Brzezinski] tells the story of American and Soviet decisions with remarkable dramatic—even cinematic—flair."" — The New York Times Book Review In Red Moon Rising, Matthew Brzezinski recounts the dramatic behind-the-scenes story of the fierce battles on earth that preceded and followed the launch of Sputnik on October 4, 1957. He takes us inside the Kremlin, the White House, secret military facilities, ...",9781429919388,,Red Moon Rising_699.jpg
Fossil Future,Alex Epstein,"The New York Times bestselling author of The Moral Case for Fossil Fuels draws on the latest data and new insights to challenge everything you thought you knew about the future of energy For over a decade, philosopher and energy expert Alex Epstein has predicted that any negative impacts of fossil fuel use on our climate will be outweighed by the unique benefits of fossil fuels to human flourishing--including their unrivaled ability to provide low-cost, reliable energy to billions of people around the world, especially the world’s poorest people. And contrary to what we hear from media “exp...",9780593420416,,Fossil Future_700.jpg
Witness,Ruth Gruber,"With her perfect memory (and plenty of zip), ninety-five-year-old Ruth Gruber–adventurer, international correspondent, photographer, maker of (and witness to) history, responsible for rescuing hundreds of thousands of Jewish refugees during World War II and after–tells her story in her own words and photographs. In Witness, Gruber writes about what she saw and shows us, through her haunting and life-affirming photographs–taken on each of her assignments– the worlds, the people, the landscapes, the courage, the hope, the life she witnessed up close and firsthand: the Siberian gulag of the 19...",9780307498809,,Witness_701.jpg
Principles of Controlled Maintenance,P. Dale Johnson,"An effective, well-managed maintenance program is crucial to the efficient and economical performance of any type of facility. This book presents a complete, step-by-step guide to systematically improving overall maintenance operations, covering maintenance organization, inventory, continuous inspection, planning, scheduling and program management. The presentation is structured in a manner which allows the reader to utilize basic guidelines in implementing a management system which can be customized to the specific requirements and goals of his/her plant or facility, regardless of size or ...",9788770222259,,Principles of Controlled Maintenance_703.jpg
